id_str,user.screen_name,in_reply_to_screen_name,created_at,favorite_count,quote_count,reply_count,retweet_count,truncated,lang,text,from
996470547415486464,TheDemocrats,,2018-05-15 19:21:06,0,0,0,21,False,en,"RT @NebraskaDems: Polls open TODAY 8am-8pm CT.
Find your polling location: https://t.co/tyuJLgO2yh
Dems on the ballot (important for down b…",regular
996361759551315968,NebraskaDems,,2018-05-15 12:08:49,32,0,0,21,False,en,"Polls open TODAY 8am-8pm CT.
Find your polling location: https://t.co/tyuJLgO2yh
Dems on the ballot (important for down ballot races): https://t.co/LGWYerZF8W
Nonpartisans can ask for a Democratic ballot.
#NebDems #BlueWave2018 #NEprimary https://t.co/T34AGQCjWn",from_retweeted_status
996456438913527808,TheDemocrats,,2018-05-15 18:25:02,0,0,0,70,False,en,"RT @PADems: Polls are OPEN! Make sure you vote for @WolfforPA, @Bob_Casey, and Democrats up and down the ballot! Find your polling place he…",regular
996344440989011975,PADems,,2018-05-15 11:00:00,81,0,0,70,False,en,"Polls are OPEN! Make sure you vote for @WolfforPA, @Bob_Casey, and Democrats up and down the ballot! Find your polling place here: https://t.co/PR2FGRSNEV https://t.co/BOBJccn8fw",from_retweeted_status
996156902139719681,TheDemocrats,,2018-05-14 22:34:47,547,0,0,292,False,en,"Thanks to Republicans, American jobs are moving overseas. But make no mistake: Democrats like @TeamPelosi will never stop fighting for our workers. https://t.co/Xke6SSwNfo",regular
996137182464237568,TheDemocrats,,2018-05-14 21:16:26,176,0,0,104,False,en,"As Trump's Education Secretary Betsy DeVos heads to New Hampshire today, we're forecasting cloudy skies to complement some deeply cloudy policies. DeVos continues to prioritize corporate interests over students that need her most, and we're calling her out. https://t.co/vwT0LvO73S",regular
996125354086543365,TheDemocrats,,2018-05-14 20:29:26,192,0,0,94,False,en,Sea-levels are rising. Hurricanes are getting stronger. Yet Republicans choose to push the narrative that climate change is hoax. Someone has to stand up for our planet and Rick Scott is clearly not up for that task. https://t.co/X3cSHxwhMu,regular
996107161439821825,TheDemocrats,,2018-05-14 19:17:08,0,0,0,105,False,en,RT @texasdemocrats: Polls are open! Go vote in the primary runoff election: https://t.co/kcE0q1pxWF,regular
995998454345338882,texasdemocrats,,2018-05-14 12:05:10,152,0,0,105,False,en,Polls are open! Go vote in the primary runoff election: https://t.co/kcE0q1pxWF,from_retweeted_status
996081316318842880,TheDemocrats,,2018-05-14 17:34:26,235,0,0,156,False,en,"Under the Obama administration, the Department of Education held important investigations into fraud and abuse by for-profit colleges. We thought that was a good thing. Apparently, Republicans disagree. https://t.co/HnhlnR1zcp",regular
